Region,Destination Country,lat,lon
Pristina,KOSOVO,42.6638771,21.1640849
Zagreb,CROATIA,45.8130967,15.9772795
Barcelona,SPAIN,41.3825802,2.177073
Athens,GREECE,37.9755648,23.7348324
Larnaca,CYPRUS,34.9236095,33.6236184
Lisbon,PORTUGAL,38.7077507,-9.1365919
Sarajevo,SERBIA,46.098347,19.6607188
Sofia,BULGARIA,42.6977028,23.3217359
Mersin,TURKEY,36.7978381,34.6298391
La Spezia,ITALY,44.238366,9.6912326
Marcianise,ITALY,41.0329966,14.2984228
İzmit,TURKEY,40.7721138,29.9505623
Valeta,MALTA,35.8989979,14.5136607
Budapest,HUNGARY,47.4978789,19.0402383
Limassol,CYPRUS,34.6852901,33.0332657
Rotterdam,NETHERLANDS,51.9244424,4.47775
Poti,GEORGIA,42.141614,41.6748028
Naples,ITALY,40.8358846,14.2487679
Istanbul,TURKEY,41.006381,28.9758715
Uboldo,ITALY,45.6109052,9.0033882
Milan,ITALY,45.4641943,9.1896346
Constanța,ROMANIA,44.1767161,28.6507598
Gebze,TURKEY,40.8006696,29.431767
Derince,TURKEY,40.7574495,29.8307628
Belgrade,SERBIA,44.8153318,20.4456588
KUMPORT,TURKEY,40.9683253,28.681408
KOPER,SLOVENIA,45.5479864,13.7304781
RIJEKA,CROATIA,45.3267976,14.442208
BARCELONA,SPAIN,41.3825802,2.177073
CONSTANTZA,ROMANIA,44.1767161,28.6507598
HAMBURG,GERMANY,53.5501721,10.0013165
GDANSK,POLAND,54.3482907,18.6540233
KLAIPEDA,LITHUANIA,55.7127529,21.1350469
ANTWERP,BELGIUM,51.2211097,4.3997081
GOTHENBURG,SWEDEN,57.7072326,11.9670171
GENOA,ITALY,44.40726,8.9338624
YANTIAN,CHINA,22.5590503,114.2324407
VARNA,BULGARIA,43.2073873,27.9166653
LE HAVRE,FRANCE,49.4938975,0.1079732
NAPLES,ITALY,40.8358846,14.2487679
ASHDOD,ISRAEL,31.7957411,34.6488659
ROTTERDAM,NETHERLANDS,51.9244424,4.47775
LEIXOES,PORTUGAL,41.1864507,-8.6961588
LISBON,PORTUGAL,38.7077507,-9.1365919
FOS,FRANCE,42.872245,0.7365421
"56224, THESSALONIKI, ΕΥΟΣΜΟ",GREECE,40.6690246,22.9096088
"57009, THESSALONIKI, ΚΑΛΟΧΩΡΙ",GREECE,40.642437,22.8614544
"54453, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"57011, THESSALONIKI, ΓΕΦΥΡΑ ΘΕΣ/ΝΙΚΗΣ",GREECE,40.7392058,22.7102302
"63200, HALKIDIKI, ΝΕΑ ΜΟΥΔΑΝΙΑ",GREECE,40.2392494,23.2846928
"18533, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.9403504,23.6575682
"19300, ATTIKI, ΑΣΠΡΟΠΥΡΓΟΣ",GREECE,38.0691655,23.5974741
"16675, ATTIKI, ΓΛΥΦΑΔΑ",GREECE,37.8659669,23.749736
"15343, ATTIKI, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ",GREECE,38.0149019,23.8273516
"19009, ATTIKI, ΡΑΦΗΝΑ",GREECE,38.0203695,24.0073367
"17123, ATTIKI, ΝΕΑ ΣΜΥΡΝΗ",GREECE,37.9390184,23.7153552
"14452, ATTIKI, ΜΕΤΑΜΟΡΦΩΣΗ",GREECE,38.0632057,23.7632602
"18454, PIRAEUS, ΝΙΚΑΙΑ",GREECE,37.9730182,23.6590403
"15125, ATTIKI, ΜΑΡΟΥΣΙ",GREECE,38.0419967,23.8114371
"17456, ATTIKI, ΑΛΙΜΟΣ",GREECE,37.9171914,23.7362045
"19001, ATTIKI, ΚΕΡΑΤΕΑ",GREECE,37.8027088,24.0036236
"63077, HALKIDIKI, ΚΑΣΣΑΝΔΡΕΙΑ",GREECE,40.0509416,23.4118188
"41500, LARISSA, ΛΑΡΙΣΑ",GREECE,39.5874854,22.4387429
"52100, KASTORIA, ΚΑΣΤΟΡΙΑ",GREECE,40.5277153,21.2617866
"29100, ZAKYNTHOS, ΖΑΚΥΝΘΟΣ",GREECE,37.7690985,20.9050676
"28100, KEFALLINIA, ΑΡΓΟΣΤΟΛΙ",GREECE,38.1247552,20.5348593
"73135, CHANIA, ΧΑΝΙΑ",GREECE,35.5104785,24.0180757
"71409, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3392489,25.1368286
"48100, PREVEZA, ΠΡΕΒΕΖΑ",GREECE,38.9579903,20.7548431
"50200, KOZANI, ΠΤΟΛΕΜΑΙΔΑ",GREECE,40.4983319,21.6971461
"45332, IOANNINA, ΙΩΑΝΝΙΝΑ",GREECE,39.6572976,20.849133
"41222, LARISSA, ΛΑΡΙΣΑ",GREECE,39.6370256,22.4114273
"18450, PIRAEUS, ΝΙΚΑΙΑ",GREECE,37.9673403,23.6482438
"54642, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"38334, VOLOS, ΒΟΛΟΣ",GREECE,39.3496451,22.9195377
"42100, TRIKALA, ΤΡΙΚΑΛΑ",GREECE,39.5570066,21.7515393
"14231, ATTIKI, ΝΕΑ ΙΩΝΙΑ",GREECE,38.0409685,23.7504363
"34100, EVOIA, ΧΑΛΚΙΔΑ",GREECE,38.4656091,23.5975442
"82200, CHIOS, ΒΡΟΝΤΑΔΟΣ",GREECE,38.3996293,26.1359879
"83100, SAMOS GREECE, ΣΑΜΟΣ",GREECE,37.7693979,26.8551203
"45500, IOANNINA, ΙΩΑΝΝΙΝΑ",GREECE,39.6012484,20.859834
"35010, FTHIOTIDA, ΔΟΜΟΚΟΣ",GREECE,39.1133748,22.3313664
"21100, ARGOLIDAS, ΝΑΥΠΛΙΟ",GREECE,37.5681268,22.8059748
"25100, ACHAIA, ΑΙΓΙΟ",GREECE,38.2320439,22.0569846
"24200, KALAMATA, ΜΕΣΣΗΝΗ",GREECE,37.0532542,22.0319649
"26223, ACHAIA, ΠΑΤΡΑ",GREECE,38.2597605,21.7426934
"28200, KEFALLINIA, ΛΗΞΟΥΡΙ",GREECE,38.2120962,20.4219942
"24400, KALAMATA, ΓΑΡΓΑΛΙΑΝΟΙ",GREECE,37.0601438,21.6245376
"49100, CORFU, ΚΕΡΚΥΡΑ",GREECE,39.6161242,19.9118361
"21053, ARGOLIDAS, ΝΕΑ ΚΙΟΣ",GREECE,37.5875557,22.7441376
"55535, THESSALONIKI, ΠΥΛΑΙΑ",GREECE,40.5782109,22.985669
"57300, THESSALONIKI, ΧΑΛΑΣΤΡΑ - ΚΥΜΙΝΑ",GREECE,40.6302101,22.72087
"54627, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"56533, THESSALONIKI, ΠΟΛΙΧΝΗ",GREECE,40.6639903,22.9661579
"27300, PYRGOS, ΓΑΣΤΟΥΝΗ",GREECE,37.8389102,21.2716201
"10443, ATTIKI, ΣΕΠΟΛΙΑ",GREECE,38.0060659,23.7167744
"13671, ATTIKI, ΑΧΑΡΝΕΣ",GREECE,38.0832119,23.7381155
"41221, LARISSA, ΛΑΡΙΣΑ",GREECE,39.6390402,22.4188196
"14564, ATTIKI, ΚΗΦΙΣΙΑ",GREECE,38.0919849,23.8008017
"16232, ATTIKI, ΒΥΡΩΝΑΣ",GREECE,37.9579964,23.7525184
"41223, LARISSA, ΛΑΡΙΣΑ",GREECE,39.635849,22.4215377
"64010, KAVALA GREECE, ΠΡΙΝΟΣ",GREECE,40.7298678,24.5696029
"37002, VOLOS, ΣΚΙΑΘΟΣ",GREECE,39.1556958,23.4585653
"12241, ATTIKI, ΑΙΓΑΛΕΩ",GREECE,37.9857335,23.6793173
"17564, ATTIKI, ΠΑΛΑΙΟ ΦΑΛΗΡΟ",GREECE,37.9366379,23.6994481
"19600, ATTIKI, ΜΑΝΔΡΑ",GREECE,38.0775385,23.4867406
TIRANA,ALBANIA ,41.3281482,19.8184435
"81102, LESVOS, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΛΕΣΒΟ",GREECE,39.2125265,26.2410772
"66100, DRAMA, ΔΡΑΜΑ",GREECE,41.1489201,24.1439603
"71414, HERAKLION CRETE, ΓΑΖΙ",GREECE,35.3334163,25.0793708
"65201, KAVALA GREECE, ΚΑΒΑΛΑ",GREECE,40.9396561,24.4205292
"59132, IMATHIA, ΒΕΡΟΙΑ",GREECE,40.5215201,22.1993321
"85300, DODECANESE GREECE, ΚΩΣ",GREECE,36.8862556,27.2551676
"21060, ARGOLIDAS, ΔΡΕΠΑΝΟ",GREECE,37.5351799,22.9307632
"71304, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3418789,25.1316096
"73003, CHANIA, ΚΑΛΥΒΕΣ",GREECE,35.4431421,24.1693868
"72100, LASITHI, ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ",GREECE,35.1921965,25.7130808
"64100, KAVALA GREECE, ΕΛΕΥΘΕΡΟΥΠΟΛΗ",GREECE,40.9117545,24.2496697
"60100, PIERIA GREECE, ΚΑΤΕΡΙΝΗ",GREECE,40.2510078,22.5527043
"74100, RETHYMNO, ΡΕΘΥΜΝΟ",GREECE,35.3692075,24.5012813
"23100, SPARTI, ΣΠΑΡΤΗ",GREECE,37.0761135,22.4297824
"30300, AITOLOAKARNANIAS, ΝΑΥΠΑΚΤΟΣ",GREECE,38.3948326,21.8333671
"35100, FTHIOTIDA, ΛΑΜΙΑ",GREECE,38.8797282,22.4403851
"34132, EVOIA, ΧΑΛΚΙΔΑ",GREECE,38.4686309,23.6033374
"54644, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"19100, ATTIKI, ΜΕΓΑΡΑ",GREECE,38.0045554,23.3174162
"10435, ATTIKI, ΜΕΤΑΞΟΥΡΓΕΙΟ",GREECE,37.9831504,23.718824
"18344, ATTIKI, ΜΟΣΧΑΤΟ",GREECE,37.9469046,23.6794483
"18544, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.9584693,23.6392477
"11474, ATTIKI, ΠΕΔΙΟ ΑΡΕΩΣ",GREECE,37.9932357,23.7403251
"16777, ATTIKI, ΕΛΛΗΝΙΚΟ",GREECE,37.9019948,23.7447606
"17675, ATTIKI, ΚΑΛΛΙΘΕΑ",GREECE,37.9505695,23.6897065
"15344, ATTIKI, ΓΕΡΑΚΑΣ",GREECE,38.0138495,23.8581751
"64200, KAVALA GREECE, ΧΡΥΣΟΥΠΟΛΗ",GREECE,40.9875972,24.6738466
"18755, PIRAEUS, ΚΕΡΑΤΣΙΝΙ",GREECE,37.9557811,23.6192793
12102,GREECE,38.0133599,23.6932643
"13231, ATTIKI, ΠΕΤΡΟΥΠΟΛΗ",GREECE,38.0378389,23.6766088
"24100, KALAMATA, ΚΑΛΑΜΑΤΑ",GREECE,37.0358067,22.1117969
"26332, ACHAIA, ΠΑΤΡΑ",GREECE,38.2368697,21.7368824
"47100, ARTA GREECE, ΑΡΤΑ",GREECE,39.1586935,20.9874949
"46100, THESPROTIA, ΗΓΟΥΜΕΝΙΤΣΑ",GREECE,39.5010698,20.2633135
"70200, HERAKLION CRETE, ΤΥΜΠΑΚΙ",GREECE,35.0721916,24.7694305
"54622, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"71305, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3392489,25.1368286
"71500, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3409948,25.1343153
"50500, KOZANI, ΣΕΡΒΙΑ",GREECE,40.1826183,22.0003903
"69300, RODOPI GREECE, ΣΑΠΕΣ",GREECE,41.0267676,25.7014054
"38333, VOLOS, ΒΟΛΟΣ",GREECE,39.3670876,22.9450008
"20100, KORINTHOS, ΚΟΡΙΝΘΟΣ",GREECE,37.9397622,22.9336692
"68100, ALEXANDROUPOLI, ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ",GREECE,40.8433642,25.87743
"81100, LESVOS, ΜΥΤΙΛΗΝΗ",GREECE,39.1093937,26.2789471
"63081, HALKIDIKI, ΝΕΟΣ ΜΑΡΜΑΡΑΣ",GREECE,40.0949951,23.7844617
"58400, PELLA GREECE, ΑΡΙΔΑΙΑ",GREECE,40.9812712,22.0464307
"56429, THESSALONIKI, ΠΟΛΙΧΝΗ - ΕΥΚΑΡΠΙΑ",GREECE,40.6936323,22.954289
"19005, ATTIKI, ΝΕΑ ΜΑΚΡΗ",GREECE,38.0872037,23.9766227
"37100, VOLOS, ΑΛΜΥΡΟΣ",GREECE,39.2402541,22.7333238
"72300, LASITHI, ΣΗΤΕΙΑ",GREECE,35.2061021,26.1043694
"22100, ARKADIAS, ΤΡΙΠΟΛΗ",GREECE,37.5109233,22.3726737
"18233, PIRAEUS, ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ",GREECE,37.9616227,23.6753748
"13562, ATTIKI, ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ",GREECE,38.0373626,23.7273393
"11853, ATTIKI, ΑΝΩ ΠΕΤΡΑΛΩΝΑ",GREECE,37.9695292,23.7111414
"73100, CHANIA, ΧΑΝΙΑ",GREECE,35.5112427,24.0076434
"85103, DODECANESE GREECE, ΑΦΑΝΤΟΥ",GREECE,36.2642029,28.1576167
"61100, KILKIS, KILKIS",GREECE,40.9930093,22.8764656
"14121, ATTIKI, ΗΡΑΚΛΕΙΟ - ATTIKI",GREECE,38.0429478,23.7682493
"14235, ATTIKI, ΝΕΑ ΙΩΝΙΑ",GREECE,38.0340097,23.7764396
"57010, THESSALONIKI, ΑΣΒΕΣΤΟΧΩΡΙ",GREECE,40.6411804,23.025817
"48200, PREVEZA, ΦΙΛΙΠΠΙΑΔΑ",GREECE,39.1799068,20.8838989
"68132, ALEXANDROUPOLI, ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ",GREECE,40.8433642,25.87743
"22001, ARKADIAS, ΑΣΤΡΟΣ",GREECE,37.3926983,22.6795983
"85100, DODECANESE GREECE, ΡΟΔΟΣ",GREECE,36.4251436,28.2179587
"85400, DODECANESE GREECE, ΛΕΡΟΣ",GREECE,37.1384711,26.8590033
"21200, ARGOLIDAS, ΑΡΓΟΣ",GREECE,37.5950122,22.7721433
SOFIA,BULGARIA,42.6977028,23.3217359
"14565, ATTIKI, ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ",GREECE,38.1404062,23.860035
"18546, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.959322,23.6329441
"13123, ATTIKI, ΙΛΙΟΝ",GREECE,38.0366944,23.6973051
